#ID,Quality Attribute,Attribute refinement ,Proposer,"Stimulus 

A condition that requires a response when it arrives at the system ","Environment 

The stimulus occurs under certain conditions. The system may be in an overload condition or in normal operation or some other relevant state","Response

How the system should respond to the stimulus. The response consists of the responsibilities that the system or the developers should perform in response to the stimulus","Importance (H,M,L)","Difficulty (H,M,L)",Review Order (1-10),BG1,BG 2,BG 3,BG 4,BG 5,BG 6,BG 7,BG 8,BG 9,,,,,,,,,,,,
45,Modifiability,,Nick,Technological (software) upgrade of the Buffer component,Normal Operations,The rest of the system is not impacted by the change and Buffer APIs support the new technology with no change,M,H,12,,,,,,,,,,,,,,,,,,,,,
17,,,,SDP is requested to deliver data to SKA Regional Centre (MERGED with #10),Normal operation,Viable data is properly delivered in a timely fashion to the appropriate SRC(s).,H,,,,,,,,,x,,,,,,,,,,,,,,
2,Modifiability,Parameter configuration,Jeff ,SKAO staff want to manually update the GSM.,Independent analysis of the sky model parameters for a bright source suggest that these can be optimized. ,The SKAO staff should be able to modify the GSM based on their own analysis.,M,L,,x,x,x,,,,,,,,,,,,,,,,,,
3,Modifiability,Parameter configuration,"Jeff 
SDP 810","After an observation has been queued for scheduling, a science user requests a change of pipeline processing parameters (pixel resolution, imaging weighting, etc.).",The user realises post scheduling block submission that they would like to optimize their imaging parameters.,"Provided that the observation is not currently part of the short-term schedule, it should be possible for the observer to submit a request for a change, provided that the support scientist allocated to the project reviews and accepts the change as being acceptable. ",L,M,,x,x,x,,,,,x,,,,,,,,,,,,,
4,"Performance
Usabiliity",Resource management,"Jeff 
Anna","TM (HPC) Issues request to observe an SB. SDP has a processing backlog and, therefore, does not have sufficient resources available.",Normal Operation. Some calibration loops are not converging and therefore SDP is taking longer than expected to finish processing a dataset.,"TM checks the short-term schedule for projects that can be observed which are less computationally expensive (e.g., pulsar survey/timing SB). SDP updated resource profile is provided to TM. SDP rejects observation and TM reschedules with another. Reason for the TM making this request is investigated and resolved.",M,M,,,,,,x,x,,x,,,,,,,,,,,,,
7,Testability,Pipeline Evolution,Nick,Minor improvement required to a science pipeline workflows,Normal Operation,Changes can be made quickly and implemented within a shift. Implementation is validated with well known datasets.,M,L,,x,x,x,,,,,x,,,,,,,,,,,,,
8,"Upgradability
Scalability",Hardware upgrade,"Nick
SDP 811
SDP 816","Hardware reaches end of life and needs to be refreshed. For example, Ingest rate/processing rate needs to increase significantly (3 to 5 times). (To save money, this effort may be contracted out.)","Normal Operation
First refresh of operations environment",New hardware upgrade can be rolled out with minimal impact on operations. Budget is adequate for the next refresh so equipment is added to improve performance with minimal impact to operations. ,M,M,,,x,x,x,,x,,x,,,,,,,,,,,,,
13,Performance,"Resource management, capacity, throughput
Latency","Antonio
Robert Laing","TM issues request to observe a commensal observation that includes imaging and pulsar SBs and SDP responds that the resources are available. For example, it is decided to schedule several commensal observations on SKA MID, specifically: (a) 1500 pulsar search beams in Band 2 distributed over 4 subarrays with antennas selected from the core ; (b) 16 pulsar timing beams in Band 2 over 4 subarrays (also core); (c) deep Band 5 imaging with the majority of the outer antennas (one subarray); (d) maintenance with 4 antennas in a single subarray; (e) intensity mapping drift scans with the remaining antennas.","Normal Operation
Mature Operations","The observing commences and data are ingested. The pulsar data is real time calibrated, the imaging data is independently calibrated with a different pipeline. Ultimately calibrated observatory data products are placed into the ""staging area"" for delivery to SRCs, and archived in the Long Term Storage.
This application requires computation of multiple independent antenna and beam pointings, delays, delay offsets; communication of pulsar ephemerides, Jones matrices and antenna voltage patterns. Can the system meet latency requirements under these circumstances?",M,M,,x,,,x,,,x,,,,,,,,,,,,,,
18,Availability,recovery,Antonio,Regional Data Centre connection comes back up after being down for long duration,,Telescope continues to observe with data going to LTP. When link is restored data backlog is shipped to regional centres with minimal operator response needed.,M,L,,x,,,,x,x,x,x,,,,,,,,,,,,,
25,Availability,Operational Phase SDP Software qualification.,Andreas,An important COTS platform application update required to be deployed for SDP. Final qualification of the update is required before implementation on the operational SDP system. (MERGE with 38),Normal operation,The SDP application update is effectively qualified. The qualification activities do not result in critical SDP operational downtime,M,,,,,,,,,,,,,,,,,,,,,,,
19,Performance ,"Resource management, capacity, throughput",Rosie,"A particular Processing Block (e.g. a pulsar observation, or TOO follow-up) is identified as ""somewhat urgent"", such that the offline SDP processing is under time pressure (i.e. there is acknowledge scientific benefit if the products can be available quickly is it might lead to furhter TOO triggers or updates to processing plans but it's not absolutely essential).",Normal operation. ,"The ""somewhat urgent"" SB is successfully executed without any interfering with any other SBs. SDP's off-line scheduling takes into account pre-assigned ""importance"" when looking for which processing blocks to schedule next. Possibly, when time-domain SBs are underway, a portion of the SDP is specifically set aside to keep pace with this SBs, so that the time domain processing is never allowed to fall more than (e.g. 30 mins) behind  the telescope SB. ",M,M,,,x,x,,x,x,,,,,,,,,,,,,,,
20,Performance ,,Jeff ,"Automated QA is performed by SDP which assigns a passing grade to the output data product. SKAO staff reassess the quality of the data and deternine that it is flawed, but the uv data are no longer in the cold buffer. ",Normal operation. ,"Scheduling block should be queued for re-observation if there are real issues with the data that are due to problems with the telescope. If the data are poor due to bad weather, the time is lost (TBC). ",L,L,,,x,x,,x,x,,,,,,,,,,,,,,,
21,Buildability,SAFe,Juande (from TM panel similar scenario),"Construction funding is available, and SDP development begins",Construction,"Functionality delivered in 3, 6, 9 months. (Understand what notional sequence of capability deliveries are needed.)",L,M,,,,,,,,,,x,,,,,,,,,,,,
23,Availability,Capacity Management,Andreas,"Due to  reasons unexpected, demand for SDP data processing and/or internal data communications resources exceeds  nominal designed-for capacity.",Normal operation,"SDP fallback/ redundancy features dependent on SDP processing or internal data communications capacity, and which are necessary for maintaining SDP critical availability in the event of a failure, are not compromised.",L,H,,,,,,,,,,,,,,,,,,,,,,
30,scalability,,,Ingest rate/processing rate needs to increase significantly (3 to 5 times) (MERGED with #8),First refresh of operations env,Next refresh includes a significant budget increase so equipment is added and the performance is not impacted,M,,,,,,,,,,,,,,,,,,,,,,,
26,Availability,Repair verification down time,"Andreas
SDP 814",An SDP component malfunctions or degrades. ,Maintenance Window,"It is detected by the control system and repairs are initiated. Following repairs to correct a fault, the testing necessary to verify the repaired status can be performed without unacceptable testing downtime implication on users.",M,M,,,,,,,,,,,,,,,,,,,,,,
27,Availability,Restoration of reporting of Quality Assessment (QA) metrics,Andreas,Failure of SDP capabilities to report Quality Assessment metrics to Telescope Manager,Normal operation,"Reporting of Quality Assessment metrics to Telescope Manager is restored within an acceptable time period, and way, to enable effective assurance of science output quality.",L,M,,,,,,,,,,,,,,,,,,,,,,
28,Availability,Availability Design,Andreas,SDP supply is contracted  in accordance with the reliability and maintainability performance estimated/assumed in the SDP CDR RAM and Design reporting.,Normal operation,"SDP reliability and maintainability performance complies with the allocations and assumptions applied in the SDP CDR RAM and Design reports, and those allocations and assumptions do enable the SKAO-specified availability for SDP.",L,L,,,,,,,,,,,,,,,,,,,,,,
34,Performance ,,,An observation is performed and needs realtime calibration and imaging. (MERGE with 47),AA1 operations,The SDP commissioning system is used and enables realtime calibration,H,,,,,,,,,,,,,,,,,,,,,,,
29,Performance ,,Antonio,"A subarray is observing with two groups, cycling between tracking on the science and on calibrator(s). (Scan depends on another scan)",Normal Operations and Commissioning,SDP understands which receptors are undertaking which task based on the scanId. The data are processed and ODPs generated successfully.,L,H,,,,,,,,,,,,,,,,,,,,,,
36,Performance,Latency,Robert Laing,"It is decided to schedule several commensal observations on SKA MID , specifically: (a) 1500 pulsar search beams in Band 2 distributed over 4 subarrays with antennas selected from the core ; (b) 16 pulsar timing beams in Band 2 over 4 subarrays (also core); (c) deep Band 5 imaging with the majority of the outer  (similar to #13?)antennas (one subarray); (d) maintenance with 4 antennas in a single subarray; (e) intensity mapping drift scans with the remaining antennas. (MERGED with #13)",Mature operations,"This application requires computation of multiple independent antenna and beam pointings, delays, delay offsets; communication of pulsar ephemerides, Jones matrices and antenna voltage patterns. Can the system meet latency requirements under these circumstances?",H,,,,,,,,,,,,,,,,,,,,,,,
37,Modifiability,upgrade,,Technological upgrades lead to replace openstack with a different technology. (MERGE with 38 and 25),Routine Operations,Successfully upgrade to new technology within X.,M,,,,,,,,,,,,,,,,,,,,,,,
31,scalability,,,A new SRC (multiple drop off points are added) is added to the network,Normal operation,Data is delivered to the new SRC and long term archive data is balanced across SRCs. Data can be found by astronomers in the new SRC.,L,L,,,,,,,,,,,,,,,,,,,,,,
32,security,,,Unauthorized user maliciously tries to access meta data or data products,,user is prevented from accessing the meta data or data products,M,M,,,,,,,,,,,,,,,,,,,,,,
33,security,,,Denial of Service attack is attempted on internet facing interface,,DoS is prevented,L,M,,,,,,,,,,,,,,,,,,,,,,
35,Performance,Latency,John Klein,"A schedule block completes execution. The next schedule block requires standard imaging mode with QA feedback and calibration feedback for LOW. (same as #10? Do we want separate scenarios for MID & LOW?)) Probably too similar to #10, so downgraded to L.","Normal operation for LOW telescope,",Execution of the new schedule block starts and observation data collection begins on schedule. Processing block is started when resources become available.,L,,,,,,,,,,,,,,,,,,,,,,,
38,Modifiability,upgrade,,Operating system version  or Openstack or other technology requires upgrade on all SDP hardware.,Normal operation,The system can be upgraded in reasonable time while maintaining the SDP availability to the telescope. The SDP application update is effectively qualified. The qualification activities do not result in critical SDP operational downtime,M,M,,,,,,,,,,,,,,,,,,,,,,
43,"Modifiability, Flexibility",,André,"It is necessary to run Factor (or something with same features) on an observation, and therefore it needs to be mapped to the SDP architecture. (Like #1, but more specific) (MERGED with #1)",Normal Operations,"SDP is flexible enough to make this happen. The platform does not need to change substantially to run Factor, although possibly with some small changes to Factor.",H,,,,,,,,,,,,,,,,,,,,,,,
44,"Modifiability, Flexibility",,André,Same as 43 but for DDFacet (MERGED with #1),Normal Operations,Idem as 43,H,,,,,,,,,,,,,,,,,,,,,,,
39,Portability,,"SDP 812
SDP 813","SKA needs portability of SDP to SRCs and mixed software environments. Portability to environments without TM and CSP could enable deployment/development of SDP at other locations or for other purposes. (SDP_REQ-812, merge with 813)",Minimal set of fairly standard COTS hardware platforms at SRCs (even though SDP may run on something that is not standard).,"SDP is deployed at SRC or mixed use environment without changes to SDP software providing SRCs have a compatible hardware configuration (i.e., a reasonably equipped datacentre). SDP may only support a minimal set COTS hardware platforms (incl accelerators, etc.) and a minimal set of software stacks (e.g. OpenStack)",M,M,,,,,,,,,,,,,,,,,,,,,,
41,"Scalability, flexibility",,André,"For all imaging observations, it appeared that more iterations in the direction-dependent calibration <-> imaging loop are required and more directions need to be solved for to obtain science-quality results as that was anticipated.",Normal Operations,"SDP will still succesfully process such observations, but on a best effort basis. The scheduling system and processing architecture is flexible enough to cope with this.",M,M,,,,,,,,,,,,,,,,,,,,,,
46,Availability,,Mary,Config database goes down.,Normal Operations,It is brought back up without major impact to operations.,M,M,,,,,,,,,,,,,,,,,,,,,,
48,,,Robert,The N-1 antenna data appears incorrect.,Late Commissioning,Scientists and operators can view intermediate data to support debugging.,M,M,,,,,,,,,,,,,,,,,,,,,,
49,Modifiability,,John,"Unmonitored entity (i.e., component) needs to be monitored.",Normal Operations,It  is inserted into the system to be monitored easily and quickly and is properly monitored.,M,L,,,,,,,,,,,,,,,,,,,,,,
50,Security,,,An urgent COTS application update needs to be deployed.,Normal Operations,The SDP application update is effectively qualified ASAP. The qualification activities do not result in critical SDP operational downtime,M,L,,,,,,,,,,,,,,,,,,,,,,
,,,,Scientist who wasn't PI needs to understand the exact data provenence or published data.,2 years after data taken.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Migrate to Python 5,,SDP is migrated to Python 5 within a short period of time and there are no operational impacts.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
